ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00898,A00898,Sensor,0,PHSEN SERIES E (SAMI-PH),PHSEN SERIES E (SAMI-PH),Sunburst Sensors,SAMI-PH,P0139,,20140709,18942.8,
A00899,A00899,Sensor,0,DOSTA SERIES D (AADI 4831),DOSTA SERIES D (AADI 4831),AANDERAA,4831,391,,20140711,5258.25,
A00900,A00900,Sensor,0,DOSTA SERIES D (AADI 4831),DOSTA SERIES D (AADI 4831),AANDERAA,4831,392,,20140711,5258.25,
A00901,A00901,Sensor,0,DOSTA SERIES D (AADI 4831),DOSTA SERIES D (AADI 4831),AANDERAA,4831,393,,20140711,5258.25,
A00902,A00902,Sensor,0,DOSTA SERIES D (AADI 4831),DOSTA SERIES D (AADI 4831),AANDERAA,4831,394,,20140711,5258.25,
A00903,A00903,Sensor,0,DOSTA SERIES D (AADI 4831),DOSTA SERIES D (AADI 4831),AANDERAA,4831,381,,20140711,5258.25,
A00905,A00905,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-170,,20140714,38969.75,
CGINS-OPTAAD-00174,A00906,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-174,,20140714,38969.75,
A00907,A00907,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-183,,20140714,38969.75,
A00908,A00908,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12308,,20140722,6775,Missing from SIO inventory
A00909,A00909,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12309,,20140722,6775,
A00910,A00910,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12310,,20140722,6775,
A00911,A00911,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12311,,20140722,6775,
A00912,A00912,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12386,,20140722,6775,Missing from inventory
A00913,A00913,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12387,,20140722,6775,
A00914,A00914,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12388,,20140722,6775,
A00915,A00915,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12389,,20140722,6775,
A00916,A00916,Sensor,0,PHSEN SERIES E (SAMI-PH),PHSEN SERIES E (SAMI-PH),Sunburst Sensors,SAMI-PH,P0138,,20140730,18942.8,
A00917,A00917,Sensor,0,PHSEN SERIES E (SAMI-PH),PHSEN SERIES E (SAMI-PH),Sunburst Sensors,PHSEN SERIES E-PHY105,P0140,,20140801,18942.8,
A00920,A00920,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12312,,20140722,6775,
A00921,A00921,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12313,,20140722,6775,
A00922,A00922,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12370,,20140722,6775,
A00923,A00923,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12371,,20140722,6775,
A00924,A00924,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12372,,20140722,6775,
A00925,A00925,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12374,,20140722,6775,
A00926,A00926,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12333,,20140722,6775,
A00927,A00927,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12336,,20140722,6775,
A00928,A00928,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12337,,20140722,6775,
A00929,A00929,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12377,,20140722,6775,
A00930,A00930,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12332,,20140722,6775,
A00931,A00931,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12331,,20140722,6775,
A00932,A00932,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12314,,20140722,6775,
A00933,A00933,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12330,,20140722,6775,
A00934,A00934,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12375,,20140722,6775,
A00935,A00935,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12376,,20140722,6775,
A00936,A00936,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12400,,20140722,6775,
A00937,A00937,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12401,,20140722,6775,
A00938,A00938,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12402,,20140722,6775,
A00939,A00939,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12403,,20140722,6775,
A00940,A00940,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12378,,20140722,6775,
A00941,A00941,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12379,,20140722,6775,
A00942,A00942,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12396,,20140722,6775,
A00943,A00943,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12404,,20140722,6775,
A00944,A00944,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12405,,20140722,6775,
A00945,A00945,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12406,,20140722,6775,
A00946,A00946,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12407,,20140722,6775,
A00947,A00947,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12408,,20140722,6775,
A00948,A00948,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12409,,20140722,6775,
A00949,A00949,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12410,,20140722,6775,
A00950,A00950,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12411,,20140722,6775,
A00951,A00951,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12412,,20140722,6775,
A00952,A00952,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12413,,20140722,6775,
A00953,A00953,Sensor,0,CTDMO SERIES G (37IM),CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12414,,20140722,6775,
A00954,A00954,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12394,,20140722,6775,
A00955,A00955,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12395,,20140722,6775,
A00956,A00956,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12392,,20140722,6775,
A00957,A00957,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12393,,20140722,6775,
A00958,A00958,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12385,,20140722,6775,
A00959,A00959,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12384,,20140722,6775,
A00960,A00960,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12391,,20140722,6775,
A00961,A00961,Sensor,0,CTDMO SERIES H (37IM),CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12390,,20140722,6775,
A00968,A00968,Sensor,0,WAVSS SER A,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5781,,20140812,22660,
A00969,A00969,Sensor,0,WAVSS SER A,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5791,1.05.0002,20140812,22660,
A00970,A00970,Sensor,0,PHSEN SERIES F (SAMI-PH),PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0141,,20140811,18965.62,
A00971,A00971,Sensor,0,PHSEN SERIES F (SAMI-PH),PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0142,,20140811,18965.62,
A00972,A00972,Sensor,0,PHSEN SERIES F (SAMI-PH),PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0143,,20140811,18965.62,
A00973,A00973,Sensor,0,PHSEN SERIES F (SAMI-PH),PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0144,,20140811,18965.62,
A00976,A00976,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,TAS273,3.2A,20150604,13316.36,
A00977,A00977,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,274,3.2A,20150604,13316.36,
A00978,A00978,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,275,3.2A,20140815,13316.36,
A00979,A00979,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,276,3.2A,20140815,13316.36,
CGINS-FLORTD-01212,A00992,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1212,5.33,20140821,13013.52,
A00993,A00993,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1218,5.33,20140821,13013.52,
A00994,A00994,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1221,5.33,20150604,13013.52,
A00995,A00995,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1222,5.33,20140821,13013.52,
A00996,A00996,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-185,1.11,20150604,38969.5,
A00997,A00997,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCOTATM-50A,34-222-50A,,20150604,28732,
A00998,A00998,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,34-223-50A,,20140908,28732,
A00999,A00999,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0096,,20150604,20373.4,
A01000,A01000,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0097,,20150604,20373,
A01001,A01001,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3286,,20140917,9554.5,
A01002,A01002,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3292,,20140917,9554.5,
A01003,A01003,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3304,,20140917,9554.5,
A01004,A01004,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3369,,20140917,9554.5,
A01005,A01005,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3381,,20140917,9554.5,
A01006,A01006,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3382,,20140917,9554.5,
A01007,A01007,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3417,,20140917,9554.5,
A01008,A01008,Sensor,0,FLORD SERIES G,FLORD SERIES G,Wet Labs,FLORD SERIES G,3418,,20140917,9554.5,
A01009,A01009,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0098,,20150604,20373.4,
CGINS-PRESFA-01382,A01011,Sensor,0,PRESF SERIES A (26PLUS),PRESF SERIES A (26PLUS),SEA-BIRD ELECTRONICS,SBE-26PLUS,26P-1382,,20130123,13850,
A01012,A01012,Sensor,0,PRESF SERIES B (26PLUS),PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,SBE-26PLUS,26P76848-1384,,20130123,13850,
A01013,A01013,Sensor,0,PRESF SERIES C (26PLUS),PRESF SERIES C (26PLUS),SEA-BIRD ELECTRONICS,SBE-26PLUS,26P76848-1385,,20130123,13850,
A01014,A01014,Sensor,0,PRESF SERIES A (26PLUS),PRESF SERIES A (26PLUS),SEA-BIRD ELECTRONICS,SBE-26PLUS,26P76848-1383,,20130123,13850,
CGINS-VELPTA-11774,A01015,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11774,,20130916,8650,
CGINS-VELPTA-11789,A01016,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11789,,20130916,8650,
CGINS-VELPTA-11775,A01017,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11775,,20130916,8650,
A01018,A01018,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11780,,20130916,8650,
A01019,A01019,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11786,,20130916,8650,
CGINS-VELPTA-11787,A01020,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11787,,20130916,8650,
CGINS-VELPTA-11748,A01021,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11748,,20130916,8650,
A01022,A01022,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11790,,20130916,8650,
A01023,A01023,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11814,,20130916,8650,
A01024,A01024,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11820,,20130916,8650,
A01025,A01025,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 11823,,20130916,8650,
A01026,A01026,Sensor,0,WAVSS SERIES A (TRIAXYS NM),WAVSS SERIES A (TRIAXYS NM),AXYS Technologies,TRIAXYS NW,5771,,20140204,22660,
A01027,A01027,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR W/PROLOG,11090,,20140303,19089,
A01028,A01028,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR W/PROLOG,11084,,20140303,19089,
A01029,A01029,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR W/PROLOG,11707,,20140303,19089,
A01030,A01030,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR W/PROLOG,11710,,20140303,19089,
A01031,A01031,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50010,,20140224,11500,
CGINS-CTDBPC-50011,A01032,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50011,,20140224,11500,
A01033,A01033,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50012,,20140224,11500,OSU claims S/N is 16-50015
CGINS-CTDBPC-50015,A01034,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P-50015,,20140224,11500,
CGINS-CTDBPC-50188,,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50188,,,,
CGINS-CTDBPC-50006,A01035,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50006,,20140224,11500,
A01036,A01036,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50007,,20140224,11500,
A01037,A01037,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50009,,20140224,11500,
A01038,A01038,Sensor,0,CTDBP SERIES E (C-16PLUSV2),CTDBP SERIES E (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50005,,20140224,11500,
CGINS-CTDBPC-50013,A01039,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50013,,20140224,11500,
A01040,A01040,Sensor,0,CTDBP SERIES C (C-16PLUSV2),CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50007,,20140224,11500,
CGINS-PCO2WB-00084,A01041,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0084,,20140212,20208.3,
CGINS-PHSEND-00123,A01042,Sensor,0,PHSEN SERIES D (SAMI-PH),PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0123,,20140212,17479.95,
A01043,A01043,Sensor,0,PHSEN SERIES E (SAMI-PH),PHSEN SERIES E (SAMI-PH),Sunburst Sensors,SAMI-PH,P0146,,20140919,18942.8,
A01044,A01044,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0089,,20140424,17792.56,
A01045,A01045,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0090,,20140424,17792.56,
A01046,A01046,Sensor,0,PHSEN SERIES D (SAMI-PH),PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0132,,20140425,18003.4,
A01047,A01047,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-198-50A,,20140327,28732,
A01048,A01048,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-199-50A,,20140327,28732,
A01049,A01049,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-196-50A,,20140327,28732,
A01050,A01050,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-197-50A,,20140327,28732,
CGINS-ADCPTM-21517,A01051,Sensor,0,ADCP SERIES M (WHS600-500),ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,21517,,20140506,25569,
A01052,A01052,Sensor,0,ADCP SERIES M (WHS600-500),ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,21522,,20140506,25569,
A01053,A01053,Sensor,0,ADCP SERIES M (WHS600-500),ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,22115,,20140506,25569,
A01054,A01054,Sensor,0,ADCP SERIES B (WHM300-500),ADCP SERIES B (WHM300-500),TELEDYNE RDI,WHM300-500,22115,,20140909,23157,
CGINS-ADCPTC-22114,A01055,Sensor,0,ADCP SERIES C (WHS300-00),ADCP SERIES C (WHS300-00),TELEDYNE RDI,WHS300-500,22114,,20140909,24615,
A01056,A01056,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-182,,20140711,38969.75,
A01057,A01057,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-169,,20140424,37830,
A01058,A01058,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-179,,20140725,38969.75,
A01059,A01059,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-184,,20140725,38969.75,
A01060,A01060,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-171,,20140820,38969.75,
A01061,A01061,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 1,,20140423,173968,
A01062,A01062,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 2,,20140423,173968,
CGINS-PCO2WB-00085,A01064,Sensor,0,PCO2W SERIES B (SAMI-CO2),PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0085,,20140212,20208.3,
CGINS-OPTAAD-00187,A01065,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-187,,20141024,38969.75,
CGINS-NUTNRB-00272,A01066,Sensor,0,NUTNR SERIES B (ISUS),NUTNR SERIES B (ISUS),SATLANTIC,ISUS,272,,20140922,37602.9,
A01067,A01067,Sensor,0,NUTNR SERIES B (ISUS),NUTNR SERIES B (ISUS),SATLANTIC,ISUS,273,,20140924,37602.9,
A01068,A01068,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12234,,20150604,8650,
A01069,A01069,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12231,,20140927,8650,
CGINS-VELPTA-12229,A01070,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12229,,20140926,8650,
A01071,A01071,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12224,,20140927,8650,
A01072,A01072,Sensor,0,VELPT SERIES A (AQUADOPP 300M),VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12230,,20150604,8650,
A01073,A01073,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 3,,20140423,173968,
A01080.1,A01080.1,Sensor,0,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,MCLANE,2103510,ML12774-01,,20140814,0,
CGVEH-GWFPGA-10404,A01081.1,Sensor,0,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,MCLANE,2103512,ML13104-04,,20140926,0,
A01082.1,A01082.1,Sensor,0,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,MCLANE,210-3512,ML13104-06,,20140926,0,
A01083.1,A01083.1,Sensor,0,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,GLOBAL WIRE FOLLOWING PROFILER Electronics #1,MCLANE,210-3512,ML13104-07,,20140826,0,
A01084,A01084,Sensor,0,OPTAA SERIES D (AC-S),OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-189,,20150604,38969.75,
A01085,A01085,Sensor,0,ANEMOMETER WINDMASTER PRO,ANEMOMETER WINDMASTER PRO,PP SYSTEMS,WINDMASTER PRO,TAS141004,,20140304,4565,
